Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: Russian
[00:00.000 --> 00:02.520]  Которые постоянно не работают.
[01:15:08.480 --> 01:15:09.480]  А кто из хорошего выделяет нас?
[01:15:09.480 --> 01:15:10.480]  Окей.
[01:15:10.480 --> 01:15:24.480]  Если мы это пытаемся делать где-то без стандартной влете и так далее, то у нас все равно работает.
[01:15:24.480 --> 01:15:25.480]  Вопрос.
[01:15:25.480 --> 01:15:26.480]  А мы будем выделять где?
[01:15:26.480 --> 01:15:27.480]  Очевидными, мы по идее не на стэке.
[01:15:27.480 --> 01:15:28.480]  Почему?
[01:15:28.480 --> 01:15:29.480]  Можно на стэке.
[01:15:29.480 --> 01:15:30.480]  Можно на стэке.
[01:15:30.480 --> 01:15:31.480]  Ну, можно на стэке.
[01:15:31.480 --> 01:15:32.480]  Ну, хорошо.
[01:15:32.480 --> 01:15:33.480]  Мы выделяем на стэке.
[01:15:33.480 --> 01:15:34.480]  Но когда мы знаем, что...
[01:15:34.480 --> 01:15:35.480]  И когда функция закончится, скорее...
[01:15:35.480 --> 01:15:36.480]  Это ладно.
[01:15:36.480 --> 01:15:37.480]  Знаете, состав для доников очень простая.
[01:15:37.480 --> 01:15:42.480]  Она заключается в том, что память уже не только выделяет, но и освобождает.
[01:15:42.480 --> 01:16:09.480]  От этого становится все понятно, что кто выделяет память, только он знает, как ее правильно освободить.
[01:16:09.480 --> 01:16:16.480]  Поэтому если память выделяет вызываемая функция, то она завершилась.
[01:16:16.480 --> 01:16:21.480]  И как ты из нее узнаешь функция, как ты выделяла память?
[01:16:21.480 --> 01:16:24.480]  Все, она уже завершилась.
[01:16:24.480 --> 01:16:27.480]  С нее уже ничего не получить.
[01:16:27.480 --> 01:16:35.480]  Поэтому тот, кто вызывает, он должен выделять память, потому что ему же ее потом и освобождать.
[01:16:35.480 --> 01:16:40.480]  Он знает, как ее выделил, он ее освободит.
[01:16:40.480 --> 01:16:44.480]  Конечно, как правило, выделяется место на стэке.
[01:16:44.480 --> 01:16:47.480]  Но, в принципе, никто не обязывает.
[01:16:47.480 --> 01:16:52.480]  Он может выделить, как он хочет, и оно все будет работать.
[01:16:52.480 --> 01:16:59.480]  Но вот этот вот кусок выделенной памяти нужно как-то передать.
[01:16:59.480 --> 01:17:01.480]  Очевидно, что это указатель.
[01:17:01.480 --> 01:17:04.480]  Не очевидно, куда его спихать.
[01:17:04.480 --> 01:17:09.480]  Запихивает его, сюрприз, нулевым аргументом.
[01:17:09.480 --> 01:17:24.480]  То есть, если ваша функция возвращает что-то большое, класс, еще что-то, то у вас аргументов у функции на самом деле на один больше.
[01:17:24.480 --> 01:17:35.480]  И вот в этот один дополнительный аргумент, тот, кто вызывает, он там как-то выделяет память, скорее всего, у себя на стэке,
[01:17:35.480 --> 01:17:44.480]  передает вам указатель этим аргументом на то место, где вам нужно создать возвращаемое значение.
[01:17:44.480 --> 01:17:52.480]  И когда функция возвращается, то вот этот указатель, она дублирует в я икси преобразователь.
[01:17:54.480 --> 01:17:55.480]  Понятно?
[01:17:55.480 --> 01:17:59.480]  Но, конечно же, дает очевидный вопрос.
[01:17:59.480 --> 01:18:08.480]  Если у нас метод класса возвращает дофига, то у нас получается два нолевых значения.
[01:18:08.480 --> 01:18:10.480]  И кто из них более нолевого?
[01:18:12.480 --> 01:18:13.480]  Ответ.
[01:18:13.480 --> 01:18:16.480]  Не договорились.
[01:18:16.480 --> 01:18:17.480]  Понятно.
[01:18:17.480 --> 01:18:18.480]  Да.
[01:18:18.480 --> 01:18:19.480]  Не договорились.
[01:18:19.480 --> 01:18:22.480]  В смысле два возвращаемого значения.
[01:18:22.480 --> 01:18:23.480]  Нет, нет.
[01:18:23.480 --> 01:18:25.480]  Два нолевых аргумента.
[01:18:25.480 --> 01:18:26.480]  Типа this call.
[01:18:26.480 --> 01:18:28.480]  У нас не this call.
[01:18:28.480 --> 01:18:31.480]  У нас какой-нибудь там сетек.
[01:18:31.480 --> 01:18:38.480]  И это метод класса, который возвращает тебе там 256 байт.
[01:18:38.480 --> 01:18:39.480]  Ага.
[01:18:39.480 --> 01:18:40.480]  Я понял.
[01:18:40.480 --> 01:18:42.480]  У тебя метод класса, который возвращает какой-то класс.
[01:18:42.480 --> 01:18:44.480]  А мы тебе заговорились, что this это все нолевое.
[01:18:44.480 --> 01:18:45.480]  Да.
[01:18:45.480 --> 01:18:51.480]  Мы говорили, что метод класса принимает указатель на this нолевым аргументом.
[01:18:51.480 --> 01:18:56.480]  И вы теперь знаете, что если значение не лезет в аккумулятор, упрощаемое,
[01:18:56.480 --> 01:19:00.480]  то указатель на него передается тоже нулевым аргументом.
[01:19:00.480 --> 01:19:02.480]  У нас есть два нулевых аргумента.
[01:19:02.480 --> 01:19:04.480]  И кто из них более нулевой?
[01:19:04.480 --> 01:19:06.480]  Компулятор зависит.
[01:19:06.480 --> 01:19:08.480]  К сожалению, не договорились.
[01:19:08.480 --> 01:19:09.480]  Да.
[01:19:09.480 --> 01:19:17.480]  И Майкрософт более нулевым считает this.
[01:19:17.480 --> 01:19:24.480]  То есть последним на стек отправится this.
[01:19:24.480 --> 01:19:34.480]  Весь остальной мир считает, наоборот, что более нулевое это возвращаемое значение.
[01:19:34.480 --> 01:19:37.480]  Честно говоря, второй вариант лучше.
[01:19:37.480 --> 01:19:38.480]  Почему?
[01:19:38.480 --> 01:19:39.480]  Четыре байка в день есть.
[01:19:39.480 --> 01:19:40.480]  Один ваш.
[01:19:40.480 --> 01:19:41.480]  ИСИ можно.
[01:19:41.480 --> 01:19:42.480]  По правилам.
[01:19:42.480 --> 01:19:43.480]  По правилам.
[01:19:43.480 --> 01:19:45.480]  Кстати, не то и то можно вызвать ИСИ.
[01:19:45.480 --> 01:19:46.480]  Смотрите.
[01:19:46.480 --> 01:19:50.480]  Ну, кстати, не то и то можно вызвать ИСИ.
[01:19:50.480 --> 01:19:57.480]  Ну, СИ можно написать, первое, сказать, это казачий, неоплаз.
[01:19:57.480 --> 01:19:58.480]  Смотрите.
[01:19:58.480 --> 01:20:04.480]  Ну, кстати говоря, да, имеете в виду, что вызвать ИСИ,
[01:20:04.480 --> 01:20:08.480]  это синоним в данном случае не из плюсов.
[01:20:08.480 --> 01:20:09.480]  Вот так называется.
[01:20:09.480 --> 01:20:13.480]  То есть что угодно, кроме плюсов.
[01:20:13.480 --> 01:20:20.480]  Пусть у нас есть метод.
[01:20:20.480 --> 01:20:35.480]  Мы возвращаем какой-то ажирный Х.
[01:20:35.480 --> 01:20:41.480]  У нас метод N, который АВ.
[01:20:41.480 --> 01:20:50.480]  А в микрософтовской конвенции у вас на самом деле происходит следующее.
[01:20:50.480 --> 01:21:13.480]  У вас возвращается указатель на M, которая принимает вот здесь вот указатель на this A, B.
[01:21:13.480 --> 01:21:16.480]  Вот так на самом деле выглядит функция.
[01:21:16.480 --> 01:21:22.480]  В микрософтовской конвенции.
[01:21:22.480 --> 01:21:25.480]  В микрософтовских, ну, в смысле,
[01:21:25.480 --> 01:21:28.480]  даже не брать за это микрософтов, например.
[01:21:28.480 --> 01:21:31.480]  Вот и Linux и подобная система.
[01:21:31.480 --> 01:21:35.480]  Потому что это привязано не к компилятору, а к ABI-системе.
[01:21:35.480 --> 01:21:41.480]  То есть, например, какой-нибудь там MinGv будет использовать микрософтовскую конвенцию,
[01:21:41.480 --> 01:21:43.480]  иначе он не говорит о служащем.
[01:21:43.480 --> 01:21:46.480]  А вы же вроде говорили, что Минкрософт, наоборот.
[01:21:46.480 --> 01:21:47.480]  Да, здесь, наоборот.
[01:21:47.480 --> 01:21:48.480]  Да.
[01:21:48.480 --> 01:21:49.480]  Думаю.
[01:21:49.480 --> 01:21:51.480]  И там наверно войду.
[01:21:51.480 --> 01:21:52.480]  Нет.
[01:21:52.480 --> 01:21:53.480]  Здесь?
[01:21:53.480 --> 01:21:54.480]  Да.
[01:21:54.480 --> 01:21:55.480]  Это нормально.
[01:21:55.480 --> 01:21:56.480]  Это нормально.
[01:21:56.480 --> 01:21:57.480]  Почему?
[01:21:57.480 --> 01:21:58.480]  Да.
[01:21:58.480 --> 01:21:59.480]  Это нормально.
[01:21:59.480 --> 01:22:00.480]  Почему?
[01:22:00.480 --> 01:22:28.480]  Вот такая вот картина.
[01:22:28.480 --> 01:22:32.480]  Да, вот этот вот указатель на возвращаемое значение
[01:22:32.480 --> 01:22:35.480]  функция дублирует при возврате в аккумуляторе.
[01:22:35.480 --> 01:22:38.480]  Поэтому то, что я вам здесь написал, это правда.
[01:22:38.480 --> 01:22:40.480]  На самом деле оно вот так вот.
[01:22:40.480 --> 01:22:41.480]  Почему так? Я не понимаю.
[01:22:41.480 --> 01:22:42.480]  Ну такая конверсия.
[01:22:42.480 --> 01:22:43.480]  Не-не, а вообще зачем?
[01:22:43.480 --> 01:22:45.480]  Мы же можем без этого обойтись.
[01:22:45.480 --> 01:22:47.480]  Мы же на стеке, если у нас большой объект,
[01:22:47.480 --> 01:22:49.480]  мы все равно через стек его будем передавать.
[01:22:49.480 --> 01:22:50.480]  Не обязательно через стек.
[01:22:50.480 --> 01:22:52.480]  Через указатель.
[01:22:52.480 --> 01:22:55.480]  Ты можешь выделить его где хочешь.
[01:22:55.480 --> 01:22:57.480]  Как правило, он выделяется на стеке,
[01:22:57.480 --> 01:23:00.480]  но никто не отвязывал тебя, а выделяется его на стеке.
[01:23:00.480 --> 01:23:02.480]  Ну это что-то в чем-то.
[01:23:02.480 --> 01:23:04.480]  Не очень, не очень.
[01:23:04.480 --> 01:23:08.480]  Мы же знаем, грубо говоря, сайзов всех параметров.
[01:23:08.480 --> 01:23:13.480]  Мы знаем сайзов, возвращаем его в значение.
[01:23:13.480 --> 01:23:16.480]  Возвращаем его в значение?
[01:23:16.480 --> 01:23:17.480]  Нет.
[01:23:17.480 --> 01:23:18.480]  А почему мы не знаем сайзов, возвращаем его в значение?
[01:23:18.480 --> 01:23:19.480]  Знаешь, сайзов, возвращаем его в значение?
[01:23:19.480 --> 01:23:22.480]  Да, ну только можно просто на стеке выделить это место,
[01:23:22.480 --> 01:23:25.480]  типа перед параметрами в семье.
[01:23:25.480 --> 01:23:27.480]  В каких случаях вообще нет?
[01:23:27.480 --> 01:23:28.480]  Нет.
[01:23:28.480 --> 01:23:31.480]  Ты так можешь сделать, только передать этот указатель
[01:23:31.480 --> 01:23:33.480]  в качестве параметра.
[01:23:33.480 --> 01:23:37.480]  Ты выделишь место на стеке где?
[01:23:37.480 --> 01:23:39.480]  Перед всеми объемом?
[01:23:39.480 --> 01:23:41.480]  Ну, например, перед.
[01:23:41.480 --> 01:23:46.480]  Не так, что ты хочешь там его хранить.
[01:23:46.480 --> 01:23:51.480]  Ну, мало ли какое у тебя расположение локальных аргументов.
[01:23:51.480 --> 01:23:56.480]  Представь, что ты вызываешь парочку таких функций.
[01:23:56.480 --> 01:24:01.480]  Не одну такую функцию, а несколько функций, которые выражают в тебе разный объект.
[01:24:01.480 --> 01:24:04.480]  Это же разные объекты перед раз возвращаем.
[01:24:04.480 --> 01:24:05.480]  Да, но просто правильно.
[01:24:05.480 --> 01:24:07.480]  Это у тебя локальные элементы.
[01:24:07.480 --> 01:24:10.480]  Компилятор так может их расположить на стеке, как хочет,
[01:24:10.480 --> 01:24:13.480]  и передать указатели на то, где он на стеке расположил.
[01:24:13.480 --> 01:24:17.480]  А не обязательно стараться, чтобы они оказались в конце,
[01:24:17.480 --> 01:24:19.480]  а потом их как-то перемещать.
[01:24:19.480 --> 01:24:22.480]  То есть, представь, что у тебя идет не один вызов,
[01:24:22.480 --> 01:24:25.480]  а несколько вызовов таких методов,
[01:24:25.480 --> 01:24:27.480]  которые устраняются разный объект.
[01:24:27.480 --> 01:24:29.480]  Очень хорошо.
[01:24:29.480 --> 01:24:34.480]  Например, если мы возвращаем на два вызова наверх.
[01:24:34.480 --> 01:24:43.480]  То есть, у нас объект создался в вызове на два метода вниз,
[01:24:43.480 --> 01:24:46.480]  и нам надо его вернуть неизмененным наверх.
[01:24:46.480 --> 01:24:50.480]  У нас создавать место под объект может самая верхняя,
[01:24:50.480 --> 01:24:52.480]  а куда не просто провасывать указатели.
[01:24:52.480 --> 01:24:55.480]  А что лучше, например, делать?
[01:24:55.480 --> 01:24:57.480]  Нет, это функция...
[01:24:57.480 --> 01:24:59.480]  Вара.
[01:24:59.480 --> 01:25:01.480]  Ну, если она...
[01:25:01.480 --> 01:25:05.480]  Просто вара.
[01:25:05.480 --> 01:25:07.480]  Ну да, ничего не сделать.
[01:25:07.480 --> 01:25:08.480]  Да.
[01:25:08.480 --> 01:25:11.480]  Вопрос, наверное, глупый, а стек вообще где находится?
[01:25:11.480 --> 01:25:13.480]  Ну, то есть, насколько адекватно нам там мегабайт выделять?
[01:25:13.480 --> 01:25:14.480]  Или там 10 мегабайт?
[01:25:14.480 --> 01:25:21.480]  Зависит от того, как там у тебя операционная система решила,
[01:25:21.480 --> 01:25:24.480]  и что ты там сказал ручками.
[01:25:24.480 --> 01:25:28.480]  Вообще, на стеке вы можете так более-менее свободно
[01:25:28.480 --> 01:25:30.480]  рассчитывать где-то до мегабайта.
[01:25:30.480 --> 01:25:33.480]  Вот до мегабайта вы можете не особенно париться,
[01:25:33.480 --> 01:25:37.480]  но еще раз, мегабайт это не на вашу функцию, а на всех.
[01:25:37.480 --> 01:25:39.480]  На Linux получение 8 мегабайт.
[01:25:39.480 --> 01:25:40.480]  Погодите.
[01:25:40.480 --> 01:25:43.480]  Еще раз, до мегабайта ты можешь довольно свободно не париться.
[01:25:43.480 --> 01:25:48.480]  Если тебе нужно несколько больше мегабайта, там в районе 2,
[01:25:48.480 --> 01:25:51.480]  то ты можешь почитать дефолты своей системы,
[01:25:51.480 --> 01:25:54.480]  где-то там до 8, где-то нет.
[01:25:54.480 --> 01:25:57.480]  Там уже ситуация небезопасна.
[01:25:57.480 --> 01:26:00.480]  Если тебе нужно там 10 мегабайт,
[01:26:00.480 --> 01:26:05.480]  почти наверняка ты их не получишь по дефолту.
[01:26:05.480 --> 01:26:09.480]  Но я не зря сказал по дефолту.
[01:26:09.480 --> 01:26:15.480]  Всегда вы можете при создании треда настроить размеры его стека.
[01:26:15.480 --> 01:26:18.480]  Вот это вот порядка мегабайта это дефолт.
[01:26:18.480 --> 01:26:21.480]  То есть, когда вы создаете тред,
[01:26:21.480 --> 01:26:24.480]  вы просите операционную систему,
[01:26:24.480 --> 01:26:28.480]  указываете не только откуда стартовать его,
[01:26:28.480 --> 01:26:31.480]  но вы указываете операционной системе
[01:26:31.480 --> 01:26:35.480]  и размер стека, сколько зарезервируешь под этот стек.
[01:26:35.480 --> 01:26:38.480]  И здесь вы можете сказать хоть 300 мегабайт.
[01:26:38.480 --> 01:26:45.480]  То есть, если вы знаете, что в этом треде вам потребуется большой стек,
[01:26:45.480 --> 01:26:48.480]  вы можете это получить.
[01:26:48.480 --> 01:26:53.480]  Единственная особенность, что если этот тред – это ваш стартовый тред.
[01:26:53.480 --> 01:26:56.480]  Какой размер стека в стартовом треде?
[01:26:56.480 --> 01:27:01.480]  Он определяется флагами вашего исполнительного файла.
[01:27:01.480 --> 01:27:06.480]  Вот под виндой формат PE исполнительных файлов,
[01:27:06.480 --> 01:27:09.480]  там прямо точно есть такое поле «размер стека».
[01:27:09.480 --> 01:27:12.480]  Можно сказать дефолт, а можно сказать «я хочу быть столько».
[01:27:12.480 --> 01:27:16.480]  В эльфе, я думаю, наверняка есть аналогичное поле,
[01:27:16.480 --> 01:27:19.480]  которое задает размер стека стартового треда.
[01:27:21.480 --> 01:27:25.480]  Поэтому еще раз, если у тебя меньше негабайта, ты не паришься.
[01:27:25.480 --> 01:27:30.480]  Если у тебя больше негабайта, то стоит подумать,
[01:27:30.480 --> 01:27:34.480]  а стоит ли заморачиваться, если заморачиваться стоит,
[01:27:34.480 --> 01:27:39.480]  то ты можешь себе обеспечить практически любой размер разумный,
[01:27:39.480 --> 01:27:43.480]  вот специальным образом повлияв на создание треда,
[01:27:43.480 --> 01:27:45.480]  если это не стартовый тред,
[01:27:45.480 --> 01:27:49.480]  и ключиком компиляции, чтобы поставить правильное поле
[01:27:49.480 --> 01:27:54.480]  в твой исполняемый файл, если это стартовый тред.
[01:27:54.480 --> 01:27:59.480]  Ну еще раз, ты имеешь над этим, как бы, такое влияние,
[01:27:59.480 --> 01:28:01.480]  если ты исполняемый файл.
[01:28:01.480 --> 01:28:07.480]  Если ты библиотека, ну то придется жить по цивилизованным правилам,
[01:28:07.480 --> 01:28:11.480]  то есть рассчитывать, что больше негабайта ты можешь не получить.
[01:28:11.480 --> 01:28:14.480]  Не надо уделять столько на стеки.
[01:28:14.480 --> 01:28:16.480]  Если ты библиотек.
[01:28:16.480 --> 01:28:21.480]  Так вот, есть ли какие-то стандартные коллинг-конвенчоны,
[01:28:21.480 --> 01:28:25.480]  которые используют рефлакс для возврата в булл?
[01:28:25.480 --> 01:28:29.480]  Ну, иногда, конечно, буллевское значение,
[01:28:29.480 --> 01:28:32.480]  я видел, что компиляторы возвращали через кэрри флаг,
[01:28:32.480 --> 01:28:37.480]  но не сказать, что это как-то прям прижилось.
[01:28:37.480 --> 01:28:46.480]  Поэтому такое бывало, но, скорее, нет чем-то.
[01:28:46.480 --> 01:28:48.480]  Просто Гидро такое не понимает.
[01:28:48.480 --> 01:28:52.480]  А Гидро, по-моему, не понимает.
[01:28:52.480 --> 01:28:55.480]  И можно такое писать.
[01:28:55.480 --> 01:28:59.480]  Там, кажется, не через кэрри флаг было, а через кэрри флаг.
[01:28:59.480 --> 01:29:01.480]  Нет, через кэрри флаг это я не видел.
[01:29:01.480 --> 01:29:03.480]  А вот через кэрри флаг было.
[01:29:05.480 --> 01:29:08.480]  Ничего, это не степично.
[01:29:09.480 --> 01:29:13.480]  Итак, вот такая внутренняя фигня.
[01:29:14.480 --> 01:29:18.480]  Я утверждаю, что этот вариант существенно нет.
[01:29:18.480 --> 01:29:20.480]  Почему?
[01:29:20.480 --> 01:29:29.480]  Потому что вот это вы можете на C написать как
[01:29:29.480 --> 01:29:37.480]  X, M, Z, A, Z.
[01:29:37.480 --> 01:29:38.480]  Да.
[01:29:40.480 --> 01:29:45.480]  То есть вы можете превратить вызов метода
[01:29:45.480 --> 01:29:54.480]  в C-шный вызов функции, просто тупо, механически добавив
[01:29:54.480 --> 01:29:56.480]  вот этот аргумент.
[01:29:56.480 --> 01:29:59.480]  И не париться про возвращаемое значение.
[01:29:59.480 --> 01:30:02.480]  Просто его копипастите возвращаемое значение,
[01:30:02.480 --> 01:30:04.480]  и оно правильно транслируется.
[01:30:04.480 --> 01:30:08.480]  Если у вас вот такая нотация, и вы это превращаете в C-шный фон,
[01:30:08.480 --> 01:30:12.480]  ну вот ничего умнее, чем это вы не сделаете.
[01:30:12.480 --> 01:30:17.480]  Вам придется действительно ручками как-то выделять место под аргумент,
[01:30:17.480 --> 01:30:22.480]  передать адрес на него, и вот это здесь тоже в таком порядке.
[01:30:22.480 --> 01:30:26.480]  То есть вот так сократить эту нотацию и не получится.
[01:30:26.480 --> 01:30:27.480]  Да.
[01:30:27.480 --> 01:30:29.480]  Есть еще такая веселая штука, как manly.
[01:30:29.480 --> 01:30:30.480]  И прям там...
[01:30:30.480 --> 01:30:32.480]  Я понимаю, но...
[01:30:32.480 --> 01:30:33.480]  Нет, нет.
[01:30:33.480 --> 01:30:34.480]  Никакой пока не...
[01:30:34.480 --> 01:30:36.480]  Не прохажите, мы выбираемся.
[01:30:38.480 --> 01:30:40.480]  И, соответственно, у меня будет не поинтер возвращаемый,
[01:30:40.480 --> 01:30:42.480]  а прямо сам объект на C.
[01:30:42.480 --> 01:30:43.480]  Ну вот...
[01:30:43.480 --> 01:30:44.480]  Нет, нет, нет.
[01:30:44.480 --> 01:30:47.480]  Это просто сокращенная запись вот ровно этого.
[01:30:47.480 --> 01:30:49.480]  Да, но там возвращаем значение, нет поинтера.
[01:30:49.480 --> 01:30:50.480]  Это...
[01:30:50.480 --> 01:30:51.480]  Ну...
[01:30:51.480 --> 01:30:52.480]  Ну, если иди так.
[01:30:52.480 --> 01:30:54.480]  Это вас пытается донести.
[01:30:54.480 --> 01:30:57.480]  Вот это синонимы.
[01:30:57.480 --> 01:31:04.480]  Просто если ты написал вот так, означает, что ты должен ручками выделять вот как-то.
[01:31:04.480 --> 01:31:08.480]  Просто создать объект и передавать на него указатель.
[01:31:08.480 --> 01:31:11.480]  А здесь это компилятор сделает сам.
[01:31:11.480 --> 01:31:12.480]  Ок.
[01:31:12.480 --> 01:31:13.480]  Да, вот это я хотел, спасибо.
[01:31:13.480 --> 01:31:14.480]  Вот.
[01:31:14.480 --> 01:31:18.480]  То есть вот эти вещи, они работают одинаково в смысле вызова функции.
[01:31:18.480 --> 01:31:23.480]  Но если ты на C это написал, то здесь у тебя объект получается автоматом,
[01:31:23.480 --> 01:31:28.480]  а здесь тебе синтаксически нужно передавать на него указатель на него ручку.
[01:31:28.480 --> 01:31:33.480]  Но компилиция вот этого, в смысле вызова, абсолютно одинаково.
[01:31:34.480 --> 01:31:36.480]  Просто удобство на C...
[01:31:36.480 --> 01:31:38.480]  Да, я осознал.
[01:31:38.480 --> 01:31:43.480]  Ну и на любом другом языке, в котором нет C, конечно, вот так удобно.
[01:31:43.480 --> 01:31:46.480]  То есть вот здесь вот мы просто...
[01:31:46.480 --> 01:31:47.480]  Спасибо.
[01:31:47.480 --> 01:31:49.480]  А потом включить на окружающие...
[01:31:49.480 --> 01:31:54.480]  Гарантируется ли, что указатель, который мы передали, будет ровно тем указательом, который мы получили?
[01:31:54.480 --> 01:31:55.480]  Да.
[01:31:55.480 --> 01:31:56.480]  Да.
[01:31:56.480 --> 01:31:59.480]  Значит, я должна вернуть то, что ей передали вот здесь.
[01:31:59.480 --> 01:32:12.480]  Еще важный момент, обратите внимание, что если вы хотите код, который вызываем откуда-то вниз в плюсок,
[01:32:12.480 --> 01:32:16.480]  то вы ни в коем случае не хотите использовать this call.
[01:32:16.480 --> 01:32:30.480]  this call нифига невыразимо через другие конвенции в языке.
[01:32:30.480 --> 01:32:31.480]  Видите?
[01:32:31.480 --> 01:32:48.480]  Поэтому если вы захотите сделать какие-то биндинги к вашим классам не из плюсов, не обязательно C, откуда угодно из другого мира, то вы не сможете их сделать для this call конвенции.
[01:32:48.480 --> 01:33:07.480]  Вам придется написать кучу убогих переходников, которые наружу торчат как-то цивилизованно, а внутри себя преобразуют вот это вот в этот дикий ERCX.
[01:33:07.480 --> 01:33:14.480]  И вот этот this call – это дефолт для методов Microsoft-овских компиляторов.
[01:33:14.480 --> 01:33:18.480]  И компиляторы, которые работают разными совместимыми с ними.
[01:33:18.480 --> 01:33:24.480]  То есть если вы компилистесь под винду, то и сланг, и интел тоже будут себя так же вести.
[01:33:24.480 --> 01:33:40.480]  И вот такой камень в сторону некоторого народа, что разработчики всяких API делятся на понимающих в происходящем и не считая не понимающих в происходящем.
[01:33:40.480 --> 01:33:44.480]  Когда вы смотрите на API, это очень чувствуется.
[01:33:44.480 --> 01:33:51.480]  Пример разработчиков, которые очень хорошо понимают в происходящем, это те, кто проектировал DirectX.
[01:33:51.480 --> 01:33:56.480]  DirectX – это на самом деле такое плюсовое API.
[01:33:56.480 --> 01:34:00.480]  У вас такие там классы, методы, бла-бла-бла.
[01:34:00.480 --> 01:34:10.480]  Но вся вот эта вот конструкция с классами и методами у них, по крайней мере, раньше вообще совершенно официально, у них был C-шный интерфейс.
[01:34:10.480 --> 01:34:16.480]  То есть вы инкрудите вот этот же файринг, который инкрудит DirectX из C,
[01:34:16.480 --> 01:34:22.480]  и у вас вместо иерархии классов получается набор аккуратных структур.
[01:34:22.480 --> 01:34:29.480]  Вместо методов у вас функции, которые вот в таблице виртуальных функций.
[01:34:29.480 --> 01:34:32.480]  Сейчас мы еще не дошли до этого, но сейчас зайдем.
[01:34:32.480 --> 01:34:37.480]  То есть там все аккуратненько называется, добавляются дополнительные аргументы.
[01:34:37.480 --> 01:34:41.480]  И несмотря на эту фигню, вот это вот вообще не проблема.
[01:34:41.480 --> 01:34:42.480]  Почему?
[01:34:42.480 --> 01:34:52.480]  Потому что во всем API абсолютно нигде, абсолютно никто не возвращает значение, которое не уместилось бы в регистр.
[01:34:52.480 --> 01:35:05.480]  То есть если функция должна вернуть большое значение, всегда во всем API используется возвращение значения через дополнительный указатель в аргумент.
[01:35:05.480 --> 01:35:11.480]  А возвращаемое значение, как правило, вида код успешности-неуспешности.
[01:35:11.480 --> 01:35:24.480]  Поэтому вот это вот плюсовое API, оно вообще чисто автоматически внутри самих гидеров транслируется в стишный интерфейс, ну или в какой-то другой язык, куда вы хотите оттранслировать.
[01:35:24.480 --> 01:35:29.480]  Без всяких загружек, перекладников и подобных.
[01:35:29.480 --> 01:35:43.480]  В другой стороне, я вот некоторое время назад наблюдал API OpenWare, это для VR-шлемов от Steam.
[01:35:43.480 --> 01:35:52.480]  У них главное в том, что классы, они ничего не сказали, и у них там рискован.
[01:35:52.480 --> 01:35:59.480]  Поэтому по 30-довбитным миром туда по-нормальному пристыковаться можно только из плюсов.
[01:35:59.480 --> 01:36:01.480]  Больше не оттуда.
[01:36:01.480 --> 01:36:08.480]  Хочешь пристыковаться не из плюсов, тебе придется на плюсах написать файлик переходчиков,
[01:36:08.480 --> 01:36:20.480]  которые транслируют первый аргумент в вызов ECX, и местами у них вот такая фигня случается.
[01:36:20.480 --> 01:36:24.480]  То есть еще и удача вот этот пробег решится.
[01:36:24.480 --> 01:36:30.480]  То есть сам народ крепал API вообще не думая о том, во что у нас компилиться.
[01:36:30.480 --> 01:36:35.480]  Ну и пока вот так в всех плюсах, внутри одного компилятора он действительно работает.
[01:36:35.480 --> 01:36:42.480]  Пока не захочется из другого мира это вызвать, ну тогда наступают проблемы.
[01:36:42.480 --> 01:36:46.480]  То есть Microsoft, не сказать, что он прям совсем здесь плохой,
[01:36:46.480 --> 01:36:49.480]  там у них есть вообще такие здравые мысли.
[01:36:49.480 --> 01:36:55.480]  То есть пока когда я видел, что это плюсовая API автоматически транслируется в C-шное,
[01:36:55.480 --> 01:36:57.480]  просто когда вы C так включаете.
[01:36:57.480 --> 01:36:59.480]  Мне это очень впечатлило.
[01:36:59.480 --> 01:37:00.480]  Вот.
[01:37:00.480 --> 01:37:10.480]  Это было про возвращаемое значение, которое не умещается в регистр.
[01:37:10.480 --> 01:37:17.480]  На самом деле про аргументы и возвращаемое значение там немного больше заморочек,
[01:37:17.480 --> 01:37:24.480]  кто в курсе, про что я говорил, про передачу структур.
[01:37:24.480 --> 01:37:31.480]  Потому что со структурами, особенно с маленькими структурами, там свои правила.
[01:37:31.480 --> 01:37:39.480]  А именно, в некоторых случаях, если структура умещается в регистр,
[01:37:39.480 --> 01:37:43.480]  то следует ли ее просто запихать в регистр?
[01:37:43.480 --> 01:37:52.480]  То есть, например, ваша структура состоит там из двух байтов и одного шорта.
[01:37:52.480 --> 01:37:55.480]  В сумме прекрасно 32 бита.
[01:37:55.480 --> 01:38:00.480]  Но вот следует ли всю эту структуру передавать 32 битным регистрам?
[01:38:00.480 --> 01:38:03.480]  Или нет?
[01:38:03.480 --> 01:38:06.480]  Зависит от calling convention, а вот бы нет.
[01:38:06.480 --> 01:38:12.480]  Вот в разных calling convention, по-разному, я, честно говоря, не помню где как.
[01:38:12.480 --> 01:38:17.480]  Довольно очевидно, что если ваша структура не влезет в регистр,
[01:38:17.480 --> 01:38:22.480]  то какой вариант, всегда какой указатель.
[01:38:22.480 --> 01:38:26.480]  То есть функция, на самом деле, принимает не саму структуру,
[01:38:26.480 --> 01:38:29.480]  а принимает указатель на нее.
[01:38:29.480 --> 01:38:32.480]  То, что вы синтаксически написали структуру,
